"zeta.seq","ML","ML.sd","ML.lci","ML.uci","S","S.sd","S.lci","S.uci"
0,1.8449421336833,0.157160394384257,1.35582963016064,2.51050087778108,1.78911492868164,0.157160394384257,1.31150355374864,2.44065844799457
0.01,1.8449508327113,0.157479073832679,1.35498941634869,2.51208130045362,1.79113955597846,0.157479073832679,1.31213196370936,2.4450139145466
0.02,1.84534739797509,0.15812394398995,1.35356874744659,2.5157990871445,1.79321631678226,0.15812394398995,1.31277529088736,2.44948604768496
0.03,1.85254568333421,0.158704402284861,1.3573036341122,2.5284876740826,1.79534725133038,0.158704402284861,1.31343406795847,2.45407960056164
0.04,1.85540308536231,0.159077864073458,1.35840247091316,2.53424201065964,1.79753450774321,0.159077864073458,1.31410885298054,2.45879958817649
0.05,1.86032676530162,0.159582899849654,1.36065971795018,2.5434835969946,1.7997803492515,0.159582899849654,1.31480023090205,2.46365130566604
0.06,1.8562604994075,0.160165468399922,1.35613624717106,2.54082364426762,1.80208716201265,0.160165468399922,1.31550881517751,2.46864034814744
0.07,1.86216259799518,0.160760285735722,1.35886302542622,2.55187570526799,1.80445746357281,0.160760285735722,1.31623524949853,2.47377263227386
0.08,1.86344732081395,0.161299659635291,1.35836373273738,2.55633732980415,1.80689391203772,0.161299659635291,1.31698020965001,2.47905441967622
0.09,1.86729452812016,0.161822065656023,1.35977515406013,2.56423927465976,1.80939931602284,0.161822065656023,1.31774440550175,2.48449234248679
0.1,1.87000113765122,0.162462815325279,1.36003702167648,2.57118313625484,1.81197664546085,0.162462815325279,1.31852858314695,2.49009343116352
0.11,1.87285118568334,0.163045905921819,1.36055403070833,2.57804650498839,1.8146290433542,0.163045905921819,1.31933352719986,2.49586514486095
0.12,1.87550462294825,0.163645393714853,1.36088167994146,2.58473432521448,1.81735983857037,0.163645393714853,1.3201600632662,2.5018154046238
0.13,1.87847315902537,0.16430086503019,1.36128567432561,2.59215348822861,1.8201725597896,0.16430086503019,1.32100906060108,2.5079526297144
0.14,1.8812874859972,0.164966754489169,1.36154697732235,2.59942746296571,1.8230709507279,0.164966754489169,1.32188143497059,2.51428577742442
0.15,1.88397767690513,0.165620050218622,1.36174917150795,2.60647993135652,1.82605898677357,0.165620050218622,1.32277815173478,2.52082438676767
0.16,1.88732917343658,0.166339357738447,1.36224973879854,2.61480058131365,1.82914089319275,0.166339357738447,1.32370022917139,2.52757862650243
0.17,1.89064827329041,0.167002149644111,1.36287380019897,2.6228040283511,1.83232116507953,0.167002149644111,1.32464874206141,2.53455934799262
0.18,1.89338391261215,0.167713327575556,1.36294464063504,2.63026283948567,1.83560458924865,0.167713327575556,1.32562482555969,2.5417781434865
0.19,1.89681497162929,0.168451230179038,1.36344111768132,2.63884299067909,1.83899626829535,0.168451230179038,1.32662967937582,2.54924741047208
0.2,1.90069361312211,0.169203211226153,1.364216928259,2.64813911638935,1.84250164707675,0.169203211226153,1.32766457229304,2.55698042286185
0.21,1.90383574036543,0.170003075994379,1.36433159249971,2.65667858621662,1.8461265419041,0.170003075994379,1.32873084705513,2.56499140986779
0.22,1.90781699489208,0.170735451281372,1.36522352428783,2.66605843017371,1.84987717277517,0.170735451281372,1.32982992565445,2.57329564355424
0.23,1.9105831124928,0.171560821195189,1.36499297270463,2.67424660986337,1.85376019902299,0.171560821195189,1.3309633150567,2.58190953620338
0.24,1.91395586241647,0.172423407417727,1.36509272104801,2.6835005320855,1.85778275881079,0.172423407417727,1.33213261340155,2.59085074880174
0.25,1.91799940415929,0.173278616695805,1.36568560474823,2.69368125545527,1.8619525129664,0.173278616695805,1.33333951672122,2.60013831215862
0.26,1.92157957381143,0.17417576165731,1.36583102055508,2.70345892201854,1.86627769372282,0.17417576165731,1.33458582622268,2.60979276240732
0.27,1.92539525290102,0.175101108186711,1.36606330142995,2.71374457978138,1.87076715901779,0.175101108186711,1.33587345618261,2.61983629292285
0.28,1.92915907442601,0.176028971226075,1.36624679084929,2.72399888465741,1.87543045310669,0.176028971226075,1.33720444250756,2.63029292502525
0.29,1.93351804377221,0.177010395405969,1.3667023428244,2.73541056340535,1.88027787436209,0.177010395405969,1.33858095201541,2.64118870023704
0.3,1.93755356789179,0.178008116007423,1.36687925096582,2.74648534301593,1.88532055127432,0.178008116007423,1.34000529249669,2.6525518973397
0.31,1.94160421871935,0.179065014575513,1.36690234763775,2.7579343532943,1.89057052783448,0.179065014575513,1.3414799236172,2.66441327804492
0.32,1.94510835948051,0.180128704286452,1.36651735540674,2.76867799384432,1.89604085967984,0.180128704286452,1.34300746872444,2.67680636578282
